DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2016,1526347,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2017,1608873,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2018,1655189,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2019,1684875,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2020,1705166,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2021,1832571,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Spain,2022,1979847,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2010,12355703,i,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2011,12479573,i,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2012,12547525,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2013,12744979,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2014,13187608,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2015,13663999,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2016,14037118,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2017,14551775,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2018,14817435,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2019,15262788,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2020,15453665,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2021,16206116,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,European Union - 27 countries (from 2020),2022,16162589,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2010,116244,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2011,117126,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2012,117239,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2013,117750,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2014,116792,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2015,116530,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2016,122849,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2017,130309,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2018,135252,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2019,133743,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2020,157114,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2021,165899,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Finland,2022,160773,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2010,2001571,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2011,2031859,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2012,1997820,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2013,1979160,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2014,2062443,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2015,2133626,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2016,2178758,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2017,2328662,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2018,2356851,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2019,2390254,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2020,2411592,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2021,2492994,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,France,2022,2433116,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2012,48263,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2013,48747,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2014,49094,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2015,51959,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2016,54744,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2017,60582,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2018,64364,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2019,68167,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2020,65842,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2021,70216,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Croatia,2022,74279,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2010,210920,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2011,208662,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2012,256912,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2013,275500,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2014,258560,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2015,299790,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2016,308994,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2017,315526,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2018,340621,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2019,342188,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2020,462617,b,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2021,423296,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Hungary,2022,428766,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2010,187617,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2011,158707,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2012,168582,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2013,205310,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2014,276309,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2015,282148,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2016,275510,,
ESTAT:ENV_WASPAC(1.0),27/02/25 23:00:00,Annual,Plastic packaging,Waste generated,Tonne,Ireland,2017,280673,,
