DECL_LAB,PERIOD_LAB,PRCCODE_LAB,INDICATORS_LAB,INDICATOR_VALUE
"Ireland","Jan.-Dec. 2013","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2013","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2014","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2014","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2014","/plasticsprimary","PRODQNT",3368815
"Ireland","Jan.-Dec. 2015","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2015","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2015","/plasticsprimary","PRODQNT",5623483
"Ireland","Jan.-Dec. 2016","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2016","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2016","/plasticsprimary","PRODQNT",5867834
"Ireland","Jan.-Dec. 2017","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2017","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2017","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2018","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2018","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2018","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2019","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2019","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2019","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2020","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2020","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2020","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2021","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2021","/plasticsprimary","PQNTFLAG",:C
"Ireland","Jan.-Dec. 2021","/plasticsprimary","PRODQNT",0
"Ireland","Jan.-Dec. 2022","/plasticsprimary","QNTUNIT",kg
"Ireland","Jan.-Dec. 2022","/plasticsprimary","PQNTFLAG",:C
"Denmark","Jan.-Dec. 2008","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2008","/plasticsprimary","PRODQNT",30734627
"Denmark","Jan.-Dec. 2009","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2009","/plasticsprimary","PRODQNT",13068490
"Denmark","Jan.-Dec. 2010","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2010","/plasticsprimary","PRODQNT",13376623
"Denmark","Jan.-Dec. 2011","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2011","/plasticsprimary","PRODQNT",13939753
"Denmark","Jan.-Dec. 2012","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2012","/plasticsprimary","PRODQNT",13123778
"Denmark","Jan.-Dec. 2013","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2013","/plasticsprimary","PRODQNT",8782440
"Denmark","Jan.-Dec. 2014","/plasticsprimary","QNTUNIT",kg
"Denmark","Jan.-Dec. 2014","/plasticsprimary","PRODQNT",13307294
