DATAFLOW,LAST UPDATE,freq,unit,hazard,wst_oper,waste,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2016,7490000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2018,8060000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2020,8110000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 27 countries (from 2020),2022,9370000,i,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2010,7000000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2012,7200000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2014,8680000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2016,8050000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,European Union - 28 countries (2013-2020),2018,8740000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2010,23363,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2012,8392,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2014,7948,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2016,27216,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2018,42008,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2020,41196,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,Finland,2022,32653,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2010,286000,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2012,227146,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2014,286327,,
ESTAT:ENV_WASTRT(1.0),27/11/24 23:00:00,Annual,Tonne,Hazardous and non-hazardous - total,Recovery - recycling,Plastic wastes,France,2016,311821,,
