DATAFLOW,LAST UPDATE,freq,waste,wst_oper,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2010,715000,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2011,749332,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2012,769871,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2013,750972,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2014,790415,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2015,875827,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2016,938918,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2017,949786,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2018,1004544,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2019,1043847,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2020,967032,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2021,1081164,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Italy,2022,1084233,,
ESTAT:ENV_WASPAC(1.0),23/10/24 23:00:00,Annual,Plastic packaging,Recycling,Tonne,Liechtenstein,2006,30,,
