DATAFLOW,LAST UPDATE,freq,indic_bt,nace_r2,s_adj,unit,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2016,97.9,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2017,102.5,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2018,102.2,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2019,98.0,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2020,91.5,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2021,100.0,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2022,90.4,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2023,81.9,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",European Union - 27 countries (from 2020),2024,82.5,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2001,102.0,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2002,101.7,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2003,95.2,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2004,92.9,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2005,99.2,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2006,104.5,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2007,111.4,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2008,106.7,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2009,96.3,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2010,98.1,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2011,97.0,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2012,98.3,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2013,96.6,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2014,95.9,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2015,98.4,,
ESTAT:STS_INPR_A(1.0),13/02/25 11:00:00,Annual,Production (volume),Manufacture of plastics in primary forms,"Calendar adjusted data, not seasonally adjusted data","Index, 2021=100",France,2016,99.6,,
