DATAFLOW,LAST UPDATE,freq,unit,na_item,geo,TIME_PERIOD,OBS_VALUE,OBS_FLAG,CONF_STATUS
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2018,3278384.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2019,3310771.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2020,3175190.4,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2021,3291719.8,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2022,3336807.6,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2023,3327917.0,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Germany,2024,3319979.0,p,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2010,256258.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2011,259617.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2012,259603.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2013,263219.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2014,266583.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2015,272193.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2016,280557.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2017,289132.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2018,294510.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2019,299550.9,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2020,294218.6,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2021,315938.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2022,320804.0,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2023,328808.7,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,Denmark,2024,340896.3,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2010,10119690.1,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2011,10311645.8,,
ESTAT:NAMA_10_GDP(1.0),01/04/25 11:00:00,Annual,"Chain linked volumes (2015), million euro",Gross domestic product at market prices,"Euro area (EA11-1999, EA12-2001, EA13-2007, EA15-2008, EA16-2009, EA17-2011, EA18-2014, EA19-2015, EA20-2023)",2012,10210851.8,,
